Michigan,Benzie County,Both,2004,24.13,21.3,27.15,18.18,15.73,21.02
New Jersey,Bergen County,Both,2004,19.32,18.32,20.4,13.67,12.74,14.63
South Carolina,Berkeley County,Both,2004,27.53,25.54,29.64,21.84,19.84,23.92
West Virginia,Berkeley County,Both,2004,30.95,28.76,33.27,25.68,23.45,28.04
Pennsylvania,Berks County,Both,2004,24.15,22.36,26.14,18.94,17.16,20.97
Massachusetts,Berkshire County,Both,2004,24.54,22.37,26.69,18.92,17.03,20.87
New Mexico,Bernalillo County,Both,2004,23.32,22.25,24.48,16.3,15.25,17.45
Georgia,Berrien County,Both,2004,28.93,25.77,32.31,23.83,20.93,26.78
Michigan,Berrien County,Both,2004,26.23,23.94,28.63,20.25,18.16,22.46
North Carolina,Bertie County,Both,2004,26.33,23.68,29.22,20.22,17.7,22.74
Alaska,Bethel Census Area,Both,2004,36.15,33.55,38.85,22.43,20.07,24.89
Texas,Bexar County,Both,2004,21.56,19.93,23.13,14.38,12.94,15.88
Alabama,Bibb County,Both,2004,30.93,27.55,34.43,25.24,22.14,28.41
Georgia,Bibb County,Both,2004,26.48,24,29.17,19.4,17.23,22.14
Louisiana,Bienville Parish,Both,2004,28.01,24.98,30.98,21.84,19.22,24.78
Montana,Big Horn County,Both,2004,33.03,30.37,35.7,21.14,18.88,23.73
Wyoming,Big Horn County,Both,2004,22.26,20.12,24.46,17.02,15.02,19.11
Minnesota,Big Stone County,Both,2004,25.39,22.36,28.53,20.28,17.49,23.35
North Dakota,Billings County,Both,2004,23.45,20.63,26.58,18.72,16.17,21.67
Idaho,Bingham County,Both,2004,21.93,20.14,23.89,16.75,14.97,18.62
Iowa,Black Hawk County,Both,2004,24.1,22.22,26.09,19.27,17.33,21.23
Indiana,Blackford County,Both,2004,30.53,27.5,33.9,25.66,22.89,28.78
North Carolina,Bladen County,Both,2004,27.51,24.74,30.19,22.1,19.83,24.74
Idaho,Blaine County,Both,2004,17.73,15.83,19.74,12.28,10.64,14.09
Montana,Blaine County,Both,2004,30.29,27.68,32.87,20.14,17.89,22.47
Nebraska,Blaine County,Both,2004,20.29,17.85,23.22,15.88,13.76,18.48
Oklahoma,Blaine County,Both,2004,29.61,26.8,32.86,22.32,19.62,25.46
Pennsylvania,Blair County,Both,2004,27.26,24.85,29.89,21.84,19.55,24.36
Texas,Blanco County,Both,2004,22.92,20.05,26.05,16.84,14.38,19.5
Virginia,Bland County,Both,2004,28.65,25.8,32.12,23.64,20.81,26.93
Georgia,Bleckley County,Both,2004,29.04,26.21,32.14,23.75,20.93,26.67
Tennessee,Bledsoe County,Both,2004,31.68,28.31,35.35,26.11,23.15,29.56
Alabama,Blount County,Both,2004,29.32,26.53,32.44,24.16,21.36,27.35
Tennessee,Blount County,Both,2004,28.52,25.63,31.51,22.73,20.09,25.59
Minnesota,Blue Earth County,Both,2004,23.56,20.88,26.18,17.91,15.43,20.32
Idaho,Boise County,Both,2004,23.09,20.57,25.98,17.94,15.52,20.61
Mississippi,Bolivar County,Both,2004,26.78,24.17,29.47,19.66,17.17,22.3
Missouri,Bollinger County,Both,2004,31.92,28.63,35.22,26.59,23.2,29.74
